NAME,WEIGHT (g),COST ($CAD),VOLTAGE (V),CELL COUNT,CAPACITY (mAh),LINK
Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90,1320,119.99,22.2,6,10000,
Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90,2015,235.17,22.2,6,16000,
Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90,750,84.82,22.2,6,5000,
Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90,2630,302.28,22.2,6,20000,
Turnigy High Capacity 14000mAh 6S 12C Lipo Pack w/XT90,1820,212.27,22.2,6,14000,
Turnigy Graphene Professional 12000mAh 6S 15C LiPo Pack w/ XT90,1610,188.86,22.2,6,12000,
Turnigy High Capacity 12000mAh 6S 12C Lipo Pack w/XT90,1650,184.26,22.2,6,12000,
Turnigy Graphene Panther 6000mAh 6S 75C Battery Pack w/XT90,950,98.74,22.2,6,6000,
LiPo 4000mAh 12S 44.4v Battery Pack,1131,544.98,44.4,12,4000,https://maxamps.com/products/lipo-4000-12s-44-4v-battery-pack
Turnigy Graphene Professional 8000mAh 6S 15C LiPo Pack w/XT90,1110,119.77,22.2,6,8000,
Turnigy Nano-Tech Plus 6000mAh 6S 70C LiPo Pack w/XT90,1034,108.86,22.2,6,6000,
LiPo 12000mAh 8S2P 29.6v Battery Pack,2078,1235.19,29.6,8,12000,
LiPo 16000mAh 8S2P 29.6v Battery Pack,2622,1422.13,29.6,8,16000,
LiPo 17000mAh 8S 29.6v Battery Pack,2518,1206.44,29.6,8,17000,
LiPo 31000mAh 8S 29.6v Battery Pack,4454,1688.15,29.6,8,31000,
LiPo 81000mAh 8S3P 29.6v NMC Battery Pack,9718,5815.05,29.6,8,81000,
LiPo 22000mAh 8S2P 29.6v Battery Pack,3294,1174,29.6,8,22000,
LiPo 23000mAh 8S 29.6v Battery Pack,3350,1565.92,29.6,8,23000,
LP6100001,	1320,	0,	22.2,	6,	10000,
LP6100002,	1320,	0,	22.2,	6,	10000,
LP6100003,	1320,	0,	22.2,	6,	10000,
LP6100004,	1320,	0,	22.2,	6,	10000,
LP6550005,	750,	0,	22.2,	6,	5500,
LP6550006,	750,	0,	22.2,	6,	5500,
LP650007,	750,	0,	22.2,	6,	5000,
LP650008,	750,	0,	22.2,	6,	5000,
LP650009,	750,	0,	22.2,	6,	5000,