LINK	NAME	WEIGHT [g]	COST [CAD]
https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/kde4014xf-380	KDE4014XF-380	215	$198.36
https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/KDE4213XF-360	KDE4213XF-360	230	$219.61
https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/KDE4215XF-465	KDE4215XF-465	250	$255.04
https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/KDE5215XF-220	KDE5215XF-220	360	$361.30
https://www.kdedirect.com/collections/uas-multi-rotor-brushless-motors/products/KDE7208XF-135	KDE7208XF-135	445	$559.66
https://hobbyking.com/en_us/turnigy-high-capacity-battery-20000mah-4s-12c-drone-lipo-pack-xt90.html	Turnigy 20000mAh 4S	1775	$217.82
https://hobbyking.com/en_us/turnigy-high-capacity-battery-20000mah-6s-12c-drone-lipo-pack-xt90.html	Turnigy 20000mAh 6S	2630	$296.01
https://hobbyking.com/en_us/turnigy-high-capacity-16000mah-6s-12c-multi-rotor-lipo-pack-w-xt90.html	Turnigy 16000mAh 6S	2015	$240.57
https://hobbyking.com/en_us/turnigy-nano-tech-5000mah-8s-65-130c-lipo-pack-xt90.html	Turnigy 5000mah 8S	1066	$117.46
https://www.kdedirect.com/collections/multi-rotor-propeller-blades/products/kde-cf185-dp	18.5" x 6.3 DUAL‐EDN (KDE)	37.6	$219.61
https://www.kdedirect.com/collections/multi-rotor-propeller-blades/products/kde-cf185-tp	18.5" x 6.3 TRIPLE‐EDN (KDE)	56.4	$325.88
https://www.kdedirect.com/collections/multi-rotor-propeller-blades/products/kde-cf215-dp	21.5" x 7.3 DUAL‐EDN (KDE)	51.6	$262.12
https://www.kdedirect.com/collections/multi-rotor-propeller-blades/products/kde-cf215-tp	21.5" x 7.3 TRIPLE‐EDN (KDE)	77.4	$389.64